Celebrity,Age,Race,Gender,Dance Role,Notability,Category,Professional Partner,Season,Finish,Average Judge Score
Joseph Baena,25,Hispanic/Latino,Male,Leader,"Fitness Model, Actor",Influencer,Daniella Karagach,Season 31,11,6.9452
Jessie James Decker,34,White,Female,Follower,Singer,Music,Alan Bersten,Season 31,10,7.13333333333333
Jordin Sparks,32,Black,Female,Follower,Singer-songwriter,Music,Brandon Armstrong,Season 31,9,7.86105263157895
Heidi D'Amelio,50,White,Female,Follower,Internet Personality,Influencer,Artem Chigvintsev,Season 31,8,8.24238095238095
Vinny Guadagnino,34,White,Male,Leader,Reality TV Personality,Influencer,Koko Iwasaki,Season 31,7,6.805
Trevor Donovan,40,White,Male,Leader,Actor,Acting,Emma Slater,Season 31,6,8.0254
Daniel Durant,32,White,Male,Leader,Actor,Acting,Britt Stewart,Season 31,5,8.138
Shangela,40,Black,Male,Follower,Reality TV Personality,Influencer,Gleb Savchenko,Season 31,4,8.67396551724138
Wayne Brady,50,Black,Male,Leader,"Actor, Singer","Acting, Music",Witney Carson,Season 31,3,9.06103448275862
Gabby Windey,31,"Hispanic/Latino, Indigenous",Female,Follower,Reality TV Personality,Influencer,Valentin Chmerkovskiy,Season 31,2,9.09396551724138
Charli D'Amelio,18,White,Female,Follower,Internet Personality,Influencer,Mark Ballas,Season 31,1,9.47172413793103
Matt Walsh,58,White,Male,Leader,"Comedian, Actor",Other Shows,Koko Iwasaki,Season 32,14,4
Jamie Lynn Spears,32,White,Female,Follower,Actress,Acting,Alan Bersten,Season 32,13,5.16666666666667
Tyson Beckford,52,Black,Male,Leader,Model,Influencer,Jenna Johnson,Season 32,12,5
Adrian Peterson,38,Black,Male,Leader,Professional Football Player,National Athlete,Britt Stewart,Season 32,11,5.84615384615385
Mira Sorvino,56,White,Female,Follower,Actress,Acting,Gleb Savchenko,Season 32,10,6.5
Mauricio Umansky,53,Hispanic/Latino,Male,Leader,Reality TV Personality,Influencer,Emma Slater,Season 32,9,6.0952380952381
